m_million_key,m_opendb_key,m_flag,million_id,million_Artist,million_Track,million_Album,million_Track_Explicitness,million_Album_Year,million_Duration,opendb_id,opendb_Artist,opendb_Track,opendb_Album,opendb_Track_Explicitness,opendb_Album_Year,opendb_Duration
C9725,B1,True,C9725,Diana Krall,Little Girl Blue,,,2007,337746,B1,Red Garland,Little Girl Blue,Presenting Red Garland,notExplicit,1956,305000
C5975,B6,True,C5975,She & Him,In the Sun,,,2010,173693,B6,G Herbo,In the Sun,In the Sun,Explicit,2022,205000
C2129,B10,True,C2129,The Prodigy,Breathe,,,1997,334800,B10,Avi Snow,Breathe,Breathe,notExplicit,2022,248000
C24835,B13,True,C24835,Augustana,Sunday Best,,,2006,200840,B13,Kayley Bishop,Sunday Best,Sunday Best,notExplicit,2022,212000
C3708,B15,True,C3708,Olive,You're Not Alone,,,2013,260000,B15,Amy Grant,You're Not Alone,Heart In Motion,notExplicit,1991,230000
C7193,B16,True,C7193,Ella Fitzgerald,Summertime,,,2011,255033,B16,Niels-Henning Ørsted Pedersen,Summertime,"Elegies, Mostly",notExplicit,1995,423000
C30793,B19,True,C30793,The Boomtown Rats,Banana Republic,,,2013,303333,B19,Mad Professor,Banana Republic,Who Knows The Secret Of The Master Tape?,notExplicit,1985,359000
C3625,B27,True,C3625,Koop,Summer Sun,,,2003,391413,B27,Gladys Knight & The Pips,Summer Sun,2nd Anniversary (Expanded Edition),notExplicit,1975,304000
C17732,B29,True,C17732,Huey Lewis & The News,I Want a New Drug,,,1983,286373,B29,Ameritz Tribute Club,I Want a New Drug,It's Hip to Be Square - A Tribute to Huey Lewis and the News,notExplicit,2012,284000
C139,B32,True,C139,The Beatles,Let It Be,,,2012,236133,B32,Connie Talbot,Let It Be,Beautiful World Special Edition,notExplicit,2012,239000
C220,B39,True,C220,The Beatles,Yellow Submarine,,,2011,171055,B39,Kids Now,Yellow Submarine,Sing Along Travelling Songs,notExplicit,2024,157000
C20631,B44,True,C20631,Daniel Bedingfield,If You're Not the One,,,2002,257066,B44,The Sign Posters,If You're Not the One,True Love - Love Songs from the Heart,notExplicit,2011,256000
C13996,B45,True,C13996,Hoobastank,Better,,,2001,173480,B45,Def3,Better,Weddings & Funerals,Explicit,2021,156000
C32071,B48,True,C32071,Leo Sayer,When I Need You,,,2008,251893,B48,Avscvltate,When I Need You,Gregorian Chants - Nothing but the Best,notExplicit,2015,320000
C517,B55,True,C517,Alice Cooper,Poison,,,2001,267306,B55,The Long Tall Texans,Poison,In Without Knocking,notExplicit,1991,172000
C30064,B63,True,C30064,Au Revoir Simone,We Are Here,,,2009,230346,B63,Alexandre Desplat,We Are Here,Unbroken (Original Motion Picture Soundtrack),notExplicit,2014,110000
C875,B67,True,C875,Jack Johnson,Do You Remember,,,2005,144013,B67,Rob Arsenault,Do You Remember,Reaching Out,notExplicit,2018,199000
C3779,B72,True,C3779,Placebo,I Know,,,1996,284000,B72,Miyako Shinohara,I Know,Stay Foolish,notExplicit,2018,291000
C21851,B84,True,C21851,Hayley Westenra,Summer Rain,,,2007,238413,B84,Good Boy Daisy,Summer Rain,Summer Rain,notExplicit,2021,182000
C1175,B85,True,C1175,Bryan Adams,Heaven,,,1993,243866,B85,Starix,Heaven,Heaven,notExplicit,2016,188000
C12815,B86,True,C12815,Angus & Julia Stone,Yellow Brick Road,,,2010,456800,B86,Logan Mize,Yellow Brick Road,Yellow Brick Road,notExplicit,2024,208000
C517,B87,True,C517,Alice Cooper,Poison,,,2001,267306,B87,Schlaasss,Poison,Casa Plaisance,Explicit,2017,230000
C2129,B94,True,C2129,The Prodigy,Breathe,,,1997,334800,B94,Zena's World,Breathe,Breathe,notExplicit,2024,149000
C23097,B96,True,C23097,John Travolta,Summer Nights,,,1978,216906,B96,Jazz Fruits Music,Summer Nights,Jazz Jukebox,notExplicit,2022,173000
C612,B97,True,C612,System of a Down,Psycho,,,2001,225893,B97,Luca Agnelli,Psycho,Rocking Horse,notExplicit,2023,324000
C2094,B104,True,C2094,Kanye West,Stronger,,,2007,311866,B104,Yan Zapolsky,Stronger,Stronger,notExplicit,2020,283000
C34790,B112,True,C34790,Panic! at the Disco,Golden Days,,,2016,254320,B112,Bucks Fizz,Golden Days,The Best Of Bucks Fizz,notExplicit,1994,253000
C38538,B117,True,C38538,Gregory Alan Isakov,Second Chances,,,2013,229226,B117,Ben Monteith,Second Chances,Second Chances,notExplicit,2020,252000
C7218,B126,True,C7218,The Cranberries,Pretty,,,2002,136200,B126,ATM Curly,Pretty,Pretty,Explicit,2019,112000
C47276,B127,True,C47276,One Direction,Little White Lies,,,2013,197920,B127,Julie London,Little White Lies,"Julie Is Her Name, Vol. 2",notExplicit,1958,168000
C10,B128,True,C10,Coldplay,Clocks,,,2002,307879,B128,Immortal Guardian,Clocks,Clocks,notExplicit,2021,313000
C601,B130,True,C601,Sum 41,Pieces,,,2008,181600,B130,Dinosaur Jr.,Pieces,Farm (15th Anniversary Edition),notExplicit,2024,271000
C612,B131,True,C612,System of a Down,Psycho,,,2001,225893,B131,Lead Pipe,Psycho,Psycho,Explicit,2020,224000
C474,B135,True,C474,Fleetwood Mac,Dreams,,,1988,254453,B135,Points Of Conception,Dreams,Dreams,notExplicit,2022,202000
C33010,B139,True,C33010,DAY26,What It Feels Like,,,2008,249826,B139,FM Static,What It Feels Like,Critically Ashamed,notExplicit,2006,169000
C574,B147,True,C574,System of a Down,Forest,,,2001,240106,B147,VOVK,Forest,Lair,notExplicit,2019,231000
C2220,B159,True,C2220,Calvin Harris,Summer,,,2014,219706,B159,Jamestown Story,Summer,Love vs. Life,notExplicit,2008,244000
C4365,B167,True,C4365,Nick Cave & The Bad Seeds,Breathless,,,2004,193880,B167,Hyman Stansky,Breathless,Starting Over,notExplicit,2008,245000
C313,B169,True,C313,Sum 41,In Too Deep,,,2010,206493,B169,Camilla Uboldi,In Too Deep,American Animals (Original Motion Picture Soundtrack),notExplicit,2018,148000
C21704,B175,True,C21704,Andrew Lloyd Webber,Heaven On Their Minds,,,2009,267027,B175,Percy Faith,Heaven On Their Minds,"Jesus Christ, Superstar",notExplicit,1971,151000
C24055,B176,True,C24055,Ben Harper,I Want To Be Ready,,,1997,242800,B176,Milton Brunson,I Want To Be Ready,"I Want To Be Ready, Jesus Is Coming",notExplicit,1994,172000
C33015,B193,True,C33015,Keri Hilson,I Like,,,2010,217933,B193,AlienPark,I Like,Mothership EP,notExplicit,2017,269000
C2129,B196,True,C2129,The Prodigy,Breathe,,,1997,334800,B196,FKA twigs,Breathe,EP1,notExplicit,2012,257000
C155,B202,True,C155,Kings of Leon,Closer,,,2008,237480,B202,Stereo Productions presents,Closer,Miami Music Conference Sampler 2010,notExplicit,2010,430000
C6736,B211,True,C6736,Sister Sledge,We Are Family,,,2010,408840,B211,Ultimate Party Mixers,We Are Family,Ultimate Party Mix,notExplicit,2006,222000
C2607,B214,True,C2607,London Grammar,Strong,,,2015,275084,B214,TRP.P,Strong,Strong,Explicit,2022,216000
C42183,B215,True,C42183,Robby Roadsteamer,Banana,,,2006,140920,B215,Real Jay,Banana,Sinalibamba,notExplicit,2022,275000
C5325,B219,True,C5325,Razorlight,Golden Touch,,,2004,205306,B219,Araabmuzik,Golden Touch,Electronic Dream (Deluxe Edition),notExplicit,2011,229000
C1175,B227,True,C1175,Bryan Adams,Heaven,,,1993,243866,B227,Cappadonna,Heaven,Ear Candy,Explicit,2018,333000
C23725,B231,True,C23725,Bob Dylan,You're No Good,,,2014,95113,B231,Ritchie,You're No Good,60,notExplicit,2012,135000
C21299,B234,True,C21299,My Morning Jacket,Rocket Man,,,2004,299826,B234,Iron Horse,Rocket Man,Bluegrass Tribute to Classic Rock,notExplicit,2007,295000
C48926,B245,True,C48926,Blutengel,In the Distance,,,2004,305120,B245,Deep Sleep Music Collective,In the Distance,"Totally Relaxed Mix - Soft and Soothing Relaxation Melodies for Complete Deep Sleep, Stress & Anxiety Relief and Total Study Focus",notExplicit,2017,143000
C517,B250,True,C517,Alice Cooper,Poison,,,2001,267306,B250,Louie Rankin,Poison,Showdown,notExplicit,1992,243000
C560,B262,True,C560,Kings of Leon,I Want You,,,2008,307453,B262,PJ & Duncan,I Want You,PSYCHE,notExplicit,2013,270000
C13414,B269,True,C13414,Hoobastank,Let It Out,,,2003,198226,B269,Parabelle,Let It Out,Air,notExplicit,2013,222000
C4902,B270,True,C4902,The Dandy Warhols,Heavenly,,,2009,200560,B270,Little Boots,Heavenly,Tomorrow's Yesterdays,notExplicit,2022,225000
C574,B273,True,C574,System of a Down,Forest,,,2001,240106,B273,Duvy,Forest,How Did I End Up Here (Deluxe),Explicit,2023,166000
C31734,B274,True,C31734,A Place to Bury Strangers,I Know I'll See You,,,2007,246712,B274,A Place To Bury Strangers,I Know I'll See You,A Place to Bury Strangers,notExplicit,2007,247000
C21133,B276,True,C21133,Prince,Uptown,,,1980,332240,B276,Minako Yoshida,Uptown,TWILIGHT ZONE,notExplicit,1977,232000
C2129,B277,True,C2129,The Prodigy,Breathe,,,1997,334800,B277,Pink Floyd,Breathe,Pulse (Live),notExplicit,1995,154000
C6649,B279,True,C6649,Blondie,Sunday Girl,,,2012,191786,B279,HOA,Sunday Girl,I Don't Know Why,notExplicit,2024,176000
C155,B281,True,C155,Kings of Leon,Closer,,,2008,237480,B281,Zamy Baumüller,Closer,Forward,notExplicit,2017,241000
C612,B285,True,C612,System of a Down,Psycho,,,2001,225893,B285,Nightmare.mm,Psycho,Our History,Explicit,2023,251000
C2094,B287,True,C2094,Kanye West,Stronger,,,2007,311866,B287,Gloria Gaynor,Stronger,I Wish You Love,notExplicit,2002,198000
C520,B290,True,C520,30 Seconds to Mars,Attack,,,2005,188186,B290,Jerry Goldsmith,Attack,In Harm's Way,notExplicit,2010,127000
C5546,B303,True,C5546,James Bay,Let It Go,,,2016,260413,B303,Karl Sapp,Let It Go,I Don't Drink No More,notExplicit,2010,159000
C38538,B311,True,C38538,Gregory Alan Isakov,Second Chances,,,2013,229226,B311,Michele McLaughlin,Second Chances,Elysium,notExplicit,2001,198000
C155,B312,True,C155,Kings of Leon,Closer,,,2008,237480,B312,Barış Çakır,Closer,Closer,notExplicit,2022,138000
C9215,B314,True,C9215,Ray Charles,Lonely Avenue,,,2008,154200,B314,Cletus Eazy Drake and the Fire Trap,Lonely Avenue,Take Care of the New Rap Beats,notExplicit,2016,139000
C39592,B324,True,C39592,New Found Glory,When I Die,,,2006,222373,B324,The King Blues,When I Die,38 Minutes,notExplicit,2019,179000
C13414,B334,True,C13414,Hoobastank,Let It Out,,,2003,198226,B334,Warwick Avenue,Let It Out,Let It Out,notExplicit,2005,281000
C6399,B339,True,C6399,Everlast,What It's Like,,,2006,302320,B339,Ronald-V,What It's Like,Harderz 2013 (Super Hard Bass Mixed By Ronald-V),notExplicit,2013,244000
C17026,B350,True,C17026,Modern Talking,"You're My Heart, You're My Soul",,,2013,210360,B350,Disco Fever,"You're My Heart, You're My Soul",200 Mega Super Hits (70-80-90-2000),notExplicit,2017,237000
C15261,B353,True,C15261,Velvet Revolver,Let It Roll,,,2007,152440,B353,Little Feat,Let It Roll,Let It Roll,notExplicit,1988,271000
C299,B360,True,C299,Maroon 5,Sunday Morning,,,2017,241466,B360,Franz Scheurer,Sunday Morning,Time Pieces,notExplicit,2023,257000
C29894,B363,True,C29894,Vanessa Carlton,Pretty Baby,,,2002,247040,B363,See Spot,Pretty Baby,The Robbery,notExplicit,2008,194000
C6251,B373,True,C6251,Akon,Lonely,,,2014,234573,B373,Big Kuza,Lonely,Hurricane Season,Explicit,2019,239000
C42115,B83555,False,C42115,Santa Sabina,Lamento,,,2011,292000,B83555,Levi7as,Lamentos,Calor Y Sombra,notExplicit,2020,198000
C27065,B84231,False,C27065,Die Toten Hosen,Paradies,,,1996,248293,B84231,Phillip Cuccias,Parades,Horizons,notExplicit,2020,194000
C43945,B85372,False,C43945,Kult,Marianna,,,1996,223386,B85372,LA BOVEDA RD,Mariana,Mariana,notExplicit,2023,142000
C43945,B85645,False,C43945,Kult,Marianna,,,1996,223386,B85645,Kyle Preston,Mariana,Mariana,notExplicit,2023,282000
C43945,B85891,False,C43945,Kult,Marianna,,,1996,223386,B85891,Primeira Dama,Mariana,Primeira Dama,notExplicit,2017,203000
C42115,B86005,False,C42115,Santa Sabina,Lamento,,,2011,292000,B86005,"Roney Marczak, Christian Ruvolo",Lamentos,"Descobertas II (Música Brasileira, Arr. for Violin and Piano)",notExplicit,2001,186000
C43945,B86722,False,C43945,Kult,Marianna,,,1996,223386,B86722,Michel Admette,Mariana,La musique du séga (feat. Les Brigands 2000),notExplicit,2010,273000
C6248,B86750,False,C6248,Shawn Mendes,Stitches,,,2016,207426,B86750,Ceolulglizzy,Switches,Switches,Explicit,2023,176000
C6248,B86819,False,C6248,Shawn Mendes,Stitches,,,2016,207426,B86819,MBG BabyJo,Switches,FREE DA BROS,Explicit,2024,106000
C17066,B87047,False,C17066,Michael Jackson,Get on the Floor,,,1979,277640,B87047,Ice,Get On The Floor,ICE Complete Singles,notExplicit,2023,315000
C43945,B87107,False,C43945,Kult,Marianna,,,1996,223386,B87107,Moreno & L'Orchestra First Moja One,Mariana,Sister Pili,notExplicit,1977,543000
C43945,B87212,False,C43945,Kult,Marianna,,,1996,223386,B87212,"Augusto Moreira, Carmo de Famalicão, Adilia Ribeiro",Mariana,Cantares ao Desafio / Casa Comigo,notExplicit,2019,179000
C1046,B87223,False,C1046,System of a Down,Spiders,,,2000,216333,B87223,Mendoza,Spiders!,The Last Dragon,notExplicit,2008,257000
C6248,B87825,False,C6248,Shawn Mendes,Stitches,,,2016,207426,B87825,CTG DayDay,Switches,Streets Love DayDay,Explicit,2022,148000
C46359,B88656,False,C46359,Sublime with Rome,Murdera,,,2011,266386,B88656,Bizzy Bone,Murderah,Busy Bones - [The Dave Cash Collection],Explicit,2011,217000
C22194,B88905,True,C22194,Jadakiss,Things I've Been Through,,,2013,160548,B88905,Lil Rue,Things I Been Through,Codeine Confessions,Explicit,2016,121000
C17066,B89124,True,C17066,Michael Jackson,Get on the Floor,,,1979,277640,B89124,T-Groove,Get On The Floor,Get On The Floor,notExplicit,2018,363000
C25109,B89451,False,C25109,Element Eighty,Victims,,,2006,176013,B89451,Diferentes Actitudes Juveniles,Victimas,Realidad Virtual,notExplicit,1993,82000
C43945,B90586,False,C43945,Kult,Marianna,,,1996,223386,B90586,Paulo Márcio,Mariana,Experimente Me Deixar,notExplicit,2017,222000
C43945,B90679,False,C43945,Kult,Marianna,,,1996,223386,B90679,Javier Torres,Mariana,Exclusivo,notExplicit,2018,313000
C17066,B90796,True,C17066,Michael Jackson,Get on the Floor,,,1979,277640,B90796,Sidney Samson,Get On The Floor,Get On The Floor,notExplicit,2009,272000
C26804,B91377,True,C26804,Rush,Emotion Detector,,,1985,311133,B91377,TRS-80,Motion Detector,Volume One,Explicit,2013,307000
C9217,B3382,True,C9217,Louis Armstrong,On The Sunny Side Of The Street,,,2013,179426,B3382,David Leonhardt,On the sunny Side of the Street,Tap Music For Tap Dancers Vol. 1 Swingin' Tappin' and Jammin',notExplicit,1999,217000
C6228,B33291,True,C6228,Stevie Wonder,I Just Called to Say I Love You,,,2002,261773,B33291,Manuel Alejandro,I Just Call To say I Love You,Love Story Romanticas Instrumentales,notExplicit,2018,230000
