source_id,opendb_id,source_artist,source_track,opendb_artist,opendb_track,source_combined,opendb_combined,similarity_score,match_classification
A3678,B29271,Big Time Rush,Windows Down,Bill Evans,I Loves You Porgy,big time rush windows down 2012,bill evans i loves you porgy 2021,0.273,-1
A2753,B66083,Marc Anthony,I Need to Know,Matthew Daddino,Battlefield of Death,marc anthony i need to know 1999,matthew daddino battlefield of death 2022,0.268,-1
A4819,B46884,Paramore,Future,Panjabi MC,Indian Timing (Jeona Morh) [Instrumental],paramore future 2013,panjabi mc indian timing (jeona morh) [instrumental] 2008,0.228,-1
A9578,B96974,Sia,You're Never Fully Dressed Without a Smile (2014 Film Version),Siddhartha Khosla,Son of Sam (The Tell),sia you're never fully dressed without a smile (2014 film version) 2014,siddhartha khosla son of sam (the tell) 2022,0.254,-1
A6059,B90003,Madonna,Frozen,Max Cooper,Stereoscopic Dive,madonna frozen 1998,max cooper stereoscopic dive 2023,0.212,-1
A5960,B91676,Disturbed,What Are You Waiting For,Disturbed,What Are You Waiting For,disturbed what are you waiting for 2015,disturbed what are you waiting for 2015,1.0,1
A9351,B91388,Mariah Carey,Vision of Love,Mantovani,Around the World in 80 Days,mariah carey vision of love 1990,mantovani around the world in 80 days 2012,0.262,-1
A2154,B73835,Meghan Trainor,What If I,Melba Moore,Lovin' Touch,meghan trainor what if i 2015,melba moore lovin' touch 2016,0.31,-1
A5771,B47443,The Archies,"Sugar, Sugar",The Yuletide Singers And Chorus,Silent Night,"the archies sugar, sugar 1969",the yuletide singers and chorus silent night 2008,0.286,-1
A3839,B98154,Daughtry,What About Now,David Bromberg Quartet,Suffer To Sing The Blues,daughtry what about now 2006,david bromberg quartet suffer to sing the blues 1998,0.212,-1
A5810,B73587,The Archies,"Sugar, Sugar",The Archies,"Sugar, Sugar","the archies sugar, sugar 1969","the archies sugar, sugar 1969",1.0,1
A4654,B49760,Michelle Branch,Breathe,Miles Hankins,I Need to Know Who's Messing Up My Life,michelle branch breathe 2003,miles hankins i need to know who's messing up my life 2022,0.207,-1
A2753,B69279,Marc Anthony,I Need to Know,Master's Promise,That's the Word,marc anthony i need to know 1999,master's promise that's the word 2018,0.243,-1
A5810,B67498,The Archies,"Sugar, Sugar",The Archies,"Sugar, Sugar","the archies sugar, sugar 1969","the archies sugar, sugar 2016",0.862,1
A4119,B33035,Childish Gambino,This Is America,Christopher Gibson,Always On My Side,childish gambino this is america 2018,christopher gibson always on my side 2021,0.341,-1
A925,B49400,Miley Cyrus,Flowers,Mitch DB,Flowers,miley cyrus flowers 2023,mitch db flowers 2023,0.667,0
A4287,B52524,Alan Jackson,Little Bitty,Al Bowlly,All Of Me,alan jackson little bitty 1996,al bowlly all of me 2022,0.267,-1
A3740,B97353,Daughtry,What About Now,David Rovics,Israeli Geography 101,daughtry what about now 2006,david rovics israeli geography 101 2011,0.282,-1
A895,B1250,Madonna,Like a Prayer,MAYOT,Shiver Outro,madonna like a prayer 1989,mayot shiver outro 2019,0.308,-1
A9275,B74991,Lin-Manuel Miranda,Almost Like Praying (feat. Artists for Puerto Rico),Lil Wyte,That's How I Do It,lin-manuel miranda almost like praying (feat. artists for puerto rico) 2017,lil wyte that's how i do it 2019,0.28,-1
A1478,B97065,Carrie Underwood,Little Toy Guns,Carl Cracchiolo,Hot In It (Original mix),carrie underwood little toy guns 2014,carl cracchiolo hot in it (original mix) 2023,0.289,-1
A8715,B14202,Luke Bryan,All My Friends Say,Lukae,When I'm With You,luke bryan all my friends say 2007,lukae when i'm with you 2021,0.382,-1
A3806,B29507,Billy Idol,Rebel Yell,Big Boi,Higher Res (feat. Jai Paul & Little Dragon),billy idol rebel yell 1983,big boi higher res (feat. jai paul & little dragon) 2012,0.232,-1
A895,B20476,Madonna,Like a Prayer,Martin Tungevaag,Wicked Wonderland (Instrumental Extended Mix),madonna like a prayer 1989,martin tungevaag wicked wonderland (instrumental extended mix) 2014,0.239,-1
A4061,B25029,Taylor Swift,august,Tales of Series SOUND TEAM,Follow the Nightingale「テイルズ オブ イノセンス」より (Orchestra Version-Live) - Follow the Nightingale from「TALES OF INNOCENCE」 (Orchestra Version-Live),taylor swift august 2020,tales of series sound team follow the nightingale「テイルズ オブ イノセンス」より (orchestra version-live) - follow the nightingale from「tales of innocence」 (orchestra version-live) 2023,0.105,-1
A6948,B19890,Michelle Branch,Breathe,MIDIFine Systems,Say My Name ((Originally Performed by Destiny's Child) [Karaoke Version]),michelle branch breathe 2003,midifine systems say my name ((originally performed by destiny's child) [karaoke version]) 2010,0.179,-1
A8831,B1713,Trans-Siberian Orchestra,A Star to Follow,Trio Settecento,"Pieces de viole, Book 3: La Guitare",trans-siberian orchestra a star to follow 1996,"trio settecento pieces de viole, book 3: la guitare 2011",0.214,-1
A2052,B46045,Mat Kearney,Closer to Love,Matthew Gee,"Winterreise, Op. 89, D. 911 (Arr. M. Gee for Trombone & Piano): No. 16, Letzte Hoffnung",mat kearney closer to love 2009,"matthew gee winterreise, op. 89, d. 911 (arr. m. gee for trombone & piano): no. 16, letzte hoffnung 2019",0.192,-1
