source_id,opendb_id,source_artist,source_track,opendb_artist,opendb_track,source_combined,opendb_combined,similarity_score,match_classification
C32320,B73090,The Faint,Casual Sex,The City of Prague Philharmonic Orchestra,Joy to the World,the faint casual sex 1999,the city of prague philharmonic orchestra joy to the world 2008,0.238,-1
C35995,B5346,Elvis Presley,"I Want You, I Need You, I Love You",Elvis Presley,"I Want You, I Need You, I Love You","elvis presley i want you, i need you, i love you 2014","elvis presley i want you, i need you, i love you 2017",0.981,1
C43030,B95414,The Locust,Full Frontal Obscurity,The Nursery Rhymes Superstar,Humpty Dumpty,the locust full frontal obscurity 2007,the nursery rhymes superstar humpty dumpty 2017,0.34,-1
C47270,B31637,Saving Abel,Out Of My Face,Salena Jones,I Will Always Love You (from the Bodyguard),saving abel out of my face 2008,salena jones i will always love you (from the bodyguard) 2004,0.295,-1
C20075,B77310,The Word Alive,How To Build An Empire,The Jaggerz,That's My World,the word alive how to build an empire 2009,the jaggerz that's my world 1970,0.262,-1
C28458,B12429,The Jam,Pretty Green,The Jam,Pretty Green,the jam pretty green 1980,the jam pretty green 1980,1.0,1
C648,B78689,The Subways,Rock & Roll Queen,The System,Escape,the subways rock & roll queen 2005,the system escape 1984,0.294,-1
C31998,B29640,Lou Reed,How Do You Think It Feels,Lou Reed,How Do You Think It Feels (Live),lou reed how do you think it feels 1992,lou reed how do you think it feels (live) 2004,0.783,1
C17776,B53608,Madonna,You'll See,Maranatha! Music,"10,000 Reasons (Bless The Lord)",madonna you'll see 1995,"maranatha! music 10,000 reasons (bless the lord) 2017",0.189,-1
C5779,B13953,The Fray,Little House,The Fray,Little House,the fray little house 2005,the fray little house 2005,1.0,1
C5464,B43706,Godsmack,Voodoo,Godsmack,Asleep,godsmack voodoo 2007,godsmack asleep 2004,0.65,0
C36081,B41152,Elvis Presley,I Need Your Love Tonight,Elvis Presley,I Need Your Love Tonight,elvis presley i need your love tonight 2011,elvis presley i need your love tonight 2010,0.977,1
C34480,B20301,Therion,Thor,Theo & Brenna,Higher Than the Wall,therion thor 2005,theo & brenna higher than the wall 2019,0.308,-1
C8082,B36227,Disturbed,Asylum,Diane Warren,Domino,disturbed asylum 2010,diane warren domino 2021,0.333,-1
C8859,B22180,Michael Bublé,A Foggy Day (in London Town),Miura Jam BR,I Will... (Sword Art Online: Alicization),michael bublé a foggy day (in london town) 2011,miura jam br i will... (sword art online: alicization) 2021,0.322,-1
C1221,B31129,The Verve,Sonnet,The Verve,Sonnet,the verve sonnet 1997,the verve sonnet 1997,1.0,1
C32320,B67398,The Faint,Casual Sex,The Laurie Berkner Band,I'm Not Perfect,the faint casual sex 1999,the laurie berkner band i'm not perfect 2016,0.273,-1
C4795,B45916,The Maine,I Must Be Dreaming,The Tammys,What's so Sweet About Sweet Sixteen,the maine i must be dreaming 2008,the tammys what's so sweet about sweet sixteen 1964,0.294,-1
C48615,B13343,Handsome Furs,Snakes On the Ladder,Halloween Monsters,I Want Candy,handsome furs snakes on the ladder 2007,halloween monsters i want candy 2015,0.333,-1
C29400,B18639,David Guetta,Like I Do,David Lutalo,I Love You,david guetta like i do 2018,david lutalo i love you 2021,0.464,-1
C39952,B23650,The Mount Fuji Doomjazz Corporation,Castles By The Sea,The Hollies,Out on the Road,the mount fuji doomjazz corporation castles by the sea 2009,the hollies out on the road 2015,0.322,-1
C35035,B10376,No Use for a Name,On The Outside,No Use For A Name,On the Outside,no use for a name on the outside 2001,no use for a name on the outside 2001,1.0,1
C9006,B92131,Miles Davis,Rocker,Miles Davis,Rubberband of Life (feat. Ledisi),miles davis rocker 2013,miles davis rubberband of life (feat. ledisi) 2019,0.38,-1
C48526,B11700,Sunset Rubdown,Paper Lace,Surrounds by InternetCity,Golden Fruit,sunset rubdown paper lace 2009,surrounds by internetcity golden fruit 2021,0.279,-1
